user_id,id,price,beds,livings,wc,area,street_width,age,street_direction,ketchen,furnished,district,width,length,advertiser_type,city_side,district_en,time_on_market,time_since_update,last_update_year,last_update_month,last_update_day,last_update_hour,create_time_year,create_time_month,create_time_day,create_time_hour,latitude,longitude,squareness,regular_shapeness
993257,4260876,1100000,4,1,4,159,30,0,3,0,0,حي الياسمين,12.0,13.0,owner,north,Al Yasmin Dist.,123,19,2022,8,3,21,2022,4,22,3,24.837442,46.644138,0.9230769230769231,1.0192307692307692
1012098,4426090,1600000,5,2,5,203,15,13,6,1,1,حي النخيل,20.0,10.0,exclusive_marketer,north,Al Nakhil Dist.,69,11,2022,8,12,15,2022,6,15,4,24.752176,46.6396,0.5,1.015
1685347,4440884,1400000,3,1,3,293,20,0,3,0,0,حي حطين,13.0,22.0,exclusive_marketer,north,Hiteen Dist.,65,15,2022,8,8,17,2022,6,19,3,24.763185,46.602798,0.5909090909090909,1.0244755244755244
1245723,4527274,1150000,4,1,3,291,30,0,4,1,0,حي العارض,291.0,1.0,exclusive_marketer,north,Al Arid Dist.,37,11,2022,8,12,15,2022,7,17,17,24.871494,46.638901,0.003436426116838488,1.0
1245723,4593245,840000,3,1,3,140,30,0,5,0,0,حي العارض,140.0,1.0,exclusive_marketer,north,Al Arid Dist.,19,11,2022,8,12,15,2022,8,4,13,24.844158,46.651768,0.007142857142857143,1.0
399587,4275665,850000,3,1,3,180,36,3,3,1,0,حي الياسمين,10.0,18.0,normal_marketer,north,Al Yasmin Dist.,116,16,2022,8,7,16,2022,4,29,4,24.824718,46.651869,0.5555555555555556,1.0
1245723,4593260,840000,3,1,3,140,30,0,5,0,0,حي العارض,140.0,1.0,exclusive_marketer,north,Al Arid Dist.,19,11,2022,8,12,15,2022,8,4,14,24.856447,46.646355,0.007142857142857143,1.0
67027,4592669,810000,3,1,3,127,30,1,2,1,0,حي العارض,7.0,18.0,exclusive_marketer,north,Al Arid Dist.,19,11,2022,8,12,16,2022,8,4,10,24.889706,46.613186,0.3888888888888889,1.007936507936508
104156,4535931,1600000,4,1,4,292,15,11,8,1,0,حي النفل,12.0,24.0,exclusive_marketer,north,Al Nafl Dist.,35,11,2022,8,12,11,2022,7,19,20,24.782129,46.669821,0.5,1.0138888888888888
1245723,4558786,990000,3,1,3,163,30,0,5,0,0,حي العارض,163.0,1.0,exclusive_marketer,north,Al Arid Dist.,28,11,2022,8,12,15,2022,7,26,8,24.852852,46.6292,0.006134969325153374,1.0
67027,4603380,1060000,3,2,4,145,30,0,2,1,0,حي النرجس,8.0,18.0,exclusive_marketer,north,An Narjis Dist.,16,11,2022,8,12,16,2022,8,7,11,24.869108,46.642006,0.4444444444444444,1.0069444444444444
491366,4261381,1200000,2,1,3,165,20,0,3,1,0,حي الملقا,,,agent,north,Al Malqa Dist.,123,29,2022,7,25,17,2022,4,22,8,24.78043,46.586212,,
1245723,4558772,850000,3,1,3,154,30,0,5,0,0,حي العارض,154.0,1.0,exclusive_marketer,north,Al Arid Dist.,28,11,2022,8,12,15,2022,7,26,8,24.836475,46.634937,0.006493506493506494,1.0
1245723,4593200,840000,3,1,3,140,30,0,5,0,0,حي العارض,140.0,1.0,exclusive_marketer,north,Al Arid Dist.,19,11,2022,8,12,15,2022,8,4,13,24.846649,46.629768,0.007142857142857143,1.0
1245723,4593294,840000,3,1,3,140,30,0,5,0,0,حي العارض,140.0,1.0,exclusive_marketer,north,Al Arid Dist.,19,11,2022,8,12,15,2022,8,4,14,24.863293,46.640339,0.007142857142857143,1.0
1685347,4441013,1350000,3,1,3,143,20,0,3,1,1,حي الملقا,10.0,14.0,exclusive_marketer,north,Al Malqa Dist.,65,15,2022,8,8,17,2022,6,19,5,24.780638,46.585876,0.7142857142857143,1.0214285714285714
7,4373115,1200000,3,1,3,126,5,0,6,0,0,حي النفل,12.6,10.0,exclusive_marketer,north,Al Nafl Dist.,83,14,2022,8,8,22,2022,5,31,21,24.774736,46.675353,0.7936507936507937,1.0
1245723,4558778,850000,3,1,3,145,30,0,5,0,0,حي العارض,145.0,1.0,exclusive_marketer,north,Al Arid Dist.,28,11,2022,8,12,15,2022,7,26,8,24.856148,46.637074,0.006896551724137931,1.0
108461,4556101,1100000,4,1,3,150,36,2,3,1,1,حي الملقا,10.0,15.0,normal_marketer,north,Al Malqa Dist.,29,16,2022,8,7,0,2022,7,25,15,24.801167,46.593322,0.6666666666666666,1.0
399587,4371928,1100000,3,1,4,187,36,0,6,1,1,حي الملقا,10.0,18.0,normal_marketer,north,Al Malqa Dist.,84,16,2022,8,7,16,2022,5,31,16,24.810429,46.596731,0.5555555555555556,1.038888888888889
399587,4332534,1150000,3,2,4,171,36,0,7,1,1,حي القيروان,10.0,17.0,exclusive_marketer,north,Al Qirawan Dist.,95,16,2022,8,7,16,2022,5,20,15,24.814213,46.587078,0.5882352941176471,1.0058823529411764
1375813,4388629,1200000,3,1,3,149,36,0,1,1,1,حي الملقا,10.0,14.0,normal_marketer,north,Al Malqa Dist.,79,30,2022,7,24,14,2022,6,5,14,24.799538,46.614929,0.7142857142857143,1.0642857142857143
52647,4125376,800000,4,1,3,180,36,11,4,1,0,حي العقيق,,,normal_marketer,north,Al Aqiq Dist.,164,11,2022,8,12,10,2022,3,12,10,24.783653,46.627377,,
164647,4501956,1145000,3,2,3,143,26,0,2,0,0,حي الياسمين,1.0,143.0,agent,north,Al Yasmin Dist.,48,13,2022,8,10,17,2022,7,6,17,24.832268,46.64629,0.006993006993006993,1.0
399587,4308649,1700000,3,1,4,248,36,,7,1,1,حي الملقا,10.0,24.0,exclusive_marketer,north,Al Malqa Dist.,101,16,2022,8,7,16,2022,5,13,23,24.816196,46.596977,0.4166666666666667,1.0333333333333334
2638550,4539332,848400,3,1,2,121,30,0,1,0,0,حي النرجس,20.0,6.0,exclusive_marketer,north,An Narjis Dist.,34,25,2022,7,29,20,2022,7,20,18,24.863924,46.655834,0.3,1.0083333333333333
2638550,4539018,1150000,3,1,3,184,5,0,1,0,0,حي الياسمين,30.0,6.0,exclusive_marketer,north,Al Yasmin Dist.,34,25,2022,7,29,20,2022,7,20,17,24.825178,46.646835,0.2,1.0222222222222221
1435610,4498056,1210000,3,1,3,150,30,0,5,1,0,حي النخيل,14.0,10.0,exclusive_marketer,north,Al Nakhil Dist.,49,21,2022,8,2,2,2022,7,5,8,24.744589,46.615959,0.7142857142857143,1.0714285714285714
2213575,4535607,950000,4,1,3,158,30,2,8,1,1,حي النرجس,8.0,19.0,owner,north,An Narjis Dist.,35,13,2022,8,10,20,2022,7,19,18,24.866467,46.655479,0.42105263157894735,1.0394736842105263
1018486,4595904,900000,3,1,3,102,30,0,4,0,0,حي الياسمين,7.0,14.0,normal_marketer,north,Al Yasmin Dist.,18,16,2022,8,7,9,2022,8,5,3,24.831432,46.646832,0.5,1.0408163265306123
676059,4487203,1700000,4,2,3,198,36,0,6,1,1,حي النفل,12.0,16.0,exclusive_marketer,north,Al Nafl Dist.,53,11,2022,8,12,3,2022,7,1,20,24.776531,46.679523,0.75,1.03125
2292518,4454750,1600000,6,1,4,221,30,3,8,1,1,حي حطين,,,exclusive_marketer,north,Hiteen Dist.,62,17,2022,8,6,11,2022,6,22,15,24.769098,46.587936,,
626743,4512503,1100000,4,1,3,164,30,1,6,1,1,حي النرجس,10.0,16.0,exclusive_marketer,north,An Narjis Dist.,41,16,2022,8,7,12,2022,7,13,6,24.830774,46.665409,0.625,1.025
1833585,4537955,9050000,5,1,3,150,40,0,8,1,0,حي النرجس,15.0,10.0,agent,north,An Narjis Dist.,34,21,2022,8,2,15,2022,7,20,12,24.871714,46.653477,0.6666666666666666,1.0
1124536,4451693,1198000,3,1,3,145,36,0,4,0,0,حي الملقا,9.0,16.0,normal_marketer,north,Al Malqa Dist.,63,13,2022,8,10,13,2022,6,21,19,24.784796,46.587055,0.5625,1.0069444444444444
2251404,4596221,1250000,3,1,3,176,30,0,4,0,0,حي العارض,10.0,17.0,owner,north,Al Arid Dist.,18,18,2022,8,5,10,2022,8,5,10,24.842083,46.637989,0.5882352941176471,1.035294117647059
